id,title,year,category,priority,arxiv_id,source_url,local_pdf,local_note,why,my_status
pi07,pi0.7: a Steerable Generalist Robotic Foundation Model with Emergent Capabilities,2026,steerable generalist VLA,high,2604.15483,https://arxiv.org/abs/2604.15483,/Users/luogu/physical_intelligence/papers/architecture/pi07_2604.15483.pdf,/Users/luogu/physical_intelligence/notes/architecture/pi07.md,"Physical Intelligence's 2026 generalist robotic foundation model; important for compositional generalization, multimodal prompting, and steering at inference time.",done
gen-1,GEN-1: Scaling Embodied Foundation Models to Mastery,2026,commercial physical AI / no open paper,high,,https://generalistai.com/blog/apr-02-2026-GEN-1,,/Users/luogu/physical_intelligence/notes/briefs/gen-1.md,"Generalist AI's 2026 model claims production-level reliability, speed, and improvisation; no public arXiv paper found, so track architecture claims and evidence quality.",todo
gene-26-5,GENE-26.5: Genesis AI Robotic Brain for Human-Level Manipulation,2026,dexterous manipulation / no open paper,medium,,https://www.genesis.ai/press/press-release-gene-265,,/Users/luogu/physical_intelligence/notes/briefs/gene-26-5.md,"Genesis AI's 2026 full-stack robotics system emphasizes human-scale dexterous hand, tactile glove data, simulation, and a data engine; no public arXiv paper found.",todo
gemini-robotics,Gemini Robotics: Bringing AI into the Physical World,2025,closed/frontier VLA,high,2503.20020,https://arxiv.org/abs/2503.20020,/Users/luogu/physical_intelligence/papers/reasoning/Gemini_Robotics_2503.20020.pdf,/Users/luogu/physical_intelligence/notes/reasoning/gemini-robotics.md,Important Google DeepMind VLA system connecting Gemini-style multimodal reasoning to robot action.,done
gr00t-n1,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025,humanoid foundation model,high,2503.14734,https://arxiv.org/abs/2503.14734,/Users/luogu/physical_intelligence/papers/reasoning/GR00T-N1_2503.14734.pdf,/Users/luogu/physical_intelligence/notes/reasoning/gr00t-n1.md,Open humanoid foundation model with dual-system VLA architecture and synthetic/real/human-video training mixture.,done
onetwovla,OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,2025,reasoning-action integration,high,2505.11917,https://arxiv.org/abs/2505.11917,/Users/luogu/physical_intelligence/papers/reasoning/OneTwoVLA_2505.11917.pdf,/Users/luogu/physical_intelligence/notes/reasoning/onetwovla.md,Unifies System 1 acting and System 2 reasoning with adaptive switching during execution.,done
univla-latent-actions,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,2025,latent action / cross-embodiment,high,2505.06111,https://arxiv.org/abs/2505.06111,/Users/luogu/physical_intelligence/papers/architecture/UniVLA-ODL_2505.06111.pdf,/Users/luogu/physical_intelligence/notes/architecture/univla-latent-actions.md,Uses latent actions from broad video data for cross-embodiment policy learning.,done
unified-vla,Unified Vision-Language-Action Model,2025,unified token model / world modeling,high,2506.19850,https://arxiv.org/abs/2506.19850,/Users/luogu/physical_intelligence/papers/architecture/UniVLA_2506.19850.pdf,/Users/luogu/physical_intelligence/notes/architecture/unified-vla.md,"Models vision, language, and action as token sequences and uses world-model post-training.",done
trivla,TriVLA: A Triple-System-Based Unified Vision-Language-Action Model for General Robot Control,2025,episodic world model,medium,2507.01424,https://arxiv.org/abs/2507.01424,/Users/luogu/physical_intelligence/papers/reasoning/TriVLA_2507.01424.pdf,/Users/luogu/physical_intelligence/notes/reasoning/trivla.md,Adds episodic world modeling and a triple-system architecture for dynamic embodied tasks.,done
dreamvla,DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,2025,world knowledge / foresight,medium,2507.04447,https://arxiv.org/abs/2507.04447,/Users/luogu/physical_intelligence/papers/reasoning/DreamVLA_2507.04447.pdf,/Users/luogu/physical_intelligence/notes/reasoning/dreamvla.md,Uses predicted world knowledge rather than raw image forecasting to improve action prediction.,done
f1-vla,F1: A Vision-Language-Action Model Bridging Understanding and Generation to Actions,2025,visual foresight / inverse dynamics,high,2509.06951,https://arxiv.org/abs/2509.06951,/Users/luogu/physical_intelligence/papers/reasoning/F1-VLA_2509.06951.pdf,/Users/luogu/physical_intelligence/notes/reasoning/f1-vla.md,"Bridges understanding, foresight generation, and action via future visual state prediction.",done
flower,FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,2025,efficient flow VLA,high,2509.04996,https://arxiv.org/abs/2509.04996,/Users/luogu/physical_intelligence/papers/architecture/FLOWER_2509.04996.pdf,/Users/luogu/physical_intelligence/notes/architecture/flower.md,Sub-billion-parameter flow VLA focused on compute-efficient open generalist robot policies.,done
llada-vla,LLaDA-VLA: Vision Language Diffusion Action Models,2025,diffusion VLM to action,medium,2509.06932,https://arxiv.org/abs/2509.06932,/Users/luogu/physical_intelligence/papers/architecture/LLaDA-VLA_2509.06932.pdf,/Users/luogu/physical_intelligence/notes/architecture/llada-vla.md,Explores masked diffusion VLMs for VLA policy learning and hierarchical action decoding.,done
simplevla-rl,SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,2025,RL post-training,high,2509.09674,https://arxiv.org/abs/2509.09674,/Users/luogu/physical_intelligence/papers/rl/SimpleVLA-RL_2509.09674.pdf,/Users/luogu/physical_intelligence/notes/rl/simplevla-rl.md,Applies scalable RL to VLA training to improve long-horizon planning and distribution-shift robustness.,done
mos-vla,MoS-VLA: A Vision-Language-Action Model with One-Shot Skill Adaptation,2025,one-shot adaptation,medium,2510.16617,https://arxiv.org/abs/2510.16617,/Users/luogu/physical_intelligence/papers/architecture/MoS-VLA_2510.16617.pdf,/Users/luogu/physical_intelligence/notes/architecture/mos-vla.md,Introduces mixture-of-skills adaptation for fast domain/task adaptation from one demonstration.,done
harbor,HARBOR: A Harness Framework for Agentic Robot Reinforcement Learning,2026,agentic RL harness,high,2606.08610,https://arxiv.org/abs/2606.08610,/Users/luogu/physical_intelligence/papers/rl/HARBOR_2606.08610.pdf,/Users/luogu/physical_intelligence/notes/rl/harbor.md,"Defines the harness-engineering framing for automating robot RL pipelines: env setup to policy training in sim, agent-driven.",done
enpire,ENPIRE: Agentic Robot Policy Self-Improvement in the Real World,2026,agentic self-improvement,high,2606.19980,https://arxiv.org/abs/2606.19980,/Users/luogu/physical_intelligence/papers/rl/ENPIRE_2606.19980.pdf,/Users/luogu/physical_intelligence/notes/rl/enpire.md,Real-world reset-execute-verify-refine loop driven by coding agents; closes the agentic loop on physical robots.,done
agentic-robotics-loop,You Don't Need To Stay in The Loop: An Agentic Robotics Loop for Robot-Policy Improvement,2026,agentic control plane,high,2608.07555,https://arxiv.org/abs/2608.07555,/Users/luogu/physical_intelligence/papers/rl/AgenticRoboticsLoop_2608.07555.pdf,/Users/luogu/physical_intelligence/notes/rl/agentic-robotics-loop.md,Ports Claude-Code-style main-agent/subagent/tool architecture to robot policy improvement; tool quality expiry mechanism.,done
playful-agentic,Playful Agentic Robot Learning,2026,agentic skill acquisition,high,2606.19419,https://arxiv.org/abs/2606.19419,/Users/luogu/physical_intelligence/papers/rl/PlayfulAgentic_2606.19419.pdf,/Users/luogu/physical_intelligence/notes/rl/playful-agentic.md,Self-directed play as continual skill-learning stage; RATs propose learnable exploratory tasks before downstream tasks arrive.,done
art-vla-agent,Evolve Vision-Language-Action Model into an Agent with On-the-fly Tool-use,2026,VLA + tool use,high,2608.14047,https://arxiv.org/abs/2608.14047,/Users/luogu/physical_intelligence/papers/architecture/ART_2608.14047.pdf,/Users/luogu/physical_intelligence/notes/architecture/art-vla-agent.md,"Tool-injection tuning that shrinks VLA action solution space; generalization up, data dependency down.",done
