id,title,year,category,priority,why,arxiv_id,source_url,project_url
pi07,pi0.7: a Steerable Generalist Robotic Foundation Model with Emergent Capabilities,2026,steerable generalist VLA,high,"Physical Intelligence's 2026 generalist robotic foundation model; important for compositional generalization, multimodal prompting, and steering at inference time.",2604.15483,https://arxiv.org/abs/2604.15483,https://www.pi.website/research/pi07
gen-1,GEN-1: Scaling Embodied Foundation Models to Mastery,2026,commercial physical AI / no open paper,high,"Generalist AI's 2026 model claims production-level reliability, speed, and improvisation; no public arXiv paper found, so track architecture claims and evidence quality.",,https://generalistai.com/blog/apr-02-2026-GEN-1,https://generalistai.com/
gene-26-5,GENE-26.5: Genesis AI Robotic Brain for Human-Level Manipulation,2026,dexterous manipulation / no open paper,medium,"Genesis AI's 2026 full-stack robotics system emphasizes human-scale dexterous hand, tactile glove data, simulation, and a data engine; no public arXiv paper found.",,https://www.genesis.ai/press/press-release-gene-265,https://www.genesis.ai/
gemini-robotics,Gemini Robotics: Bringing AI into the Physical World,2025,closed/frontier VLA,high,Important Google DeepMind VLA system connecting Gemini-style multimodal reasoning to robot action.,2503.20020,https://arxiv.org/abs/2503.20020,https://deepmind.google/models/gemini-robotics/
gr00t-n1,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025,humanoid foundation model,high,Open humanoid foundation model with dual-system VLA architecture and synthetic/real/human-video training mixture.,2503.14734,https://arxiv.org/abs/2503.14734,https://research.nvidia.com/publication/2025-03_nvidia-isaac-gr00t-n1-open-foundation-model-humanoid-robots
onetwovla,OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,2025,reasoning-action integration,high,Unifies System 1 acting and System 2 reasoning with adaptive switching during execution.,2505.11917,https://arxiv.org/abs/2505.11917,
univla-latent-actions,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,2025,latent action / cross-embodiment,high,Uses latent actions from broad video data for cross-embodiment policy learning.,2505.06111,https://arxiv.org/abs/2505.06111,
unified-vla,Unified Vision-Language-Action Model,2025,unified token model / world modeling,high,"Models vision, language, and action as token sequences and uses world-model post-training.",2506.19850,https://arxiv.org/abs/2506.19850,
trivla,TriVLA: A Triple-System-Based Unified Vision-Language-Action Model for General Robot Control,2025,episodic world model,medium,Adds episodic world modeling and a triple-system architecture for dynamic embodied tasks.,2507.01424,https://arxiv.org/abs/2507.01424,
dreamvla,DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,2025,world knowledge / foresight,medium,Uses predicted world knowledge rather than raw image forecasting to improve action prediction.,2507.04447,https://arxiv.org/abs/2507.04447,
f1-vla,F1: A Vision-Language-Action Model Bridging Understanding and Generation to Actions,2025,visual foresight / inverse dynamics,high,"Bridges understanding, foresight generation, and action via future visual state prediction.",2509.06951,https://arxiv.org/abs/2509.06951,https://aopolin-lv.github.io/F1-VLA/
flower,FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,2025,efficient flow VLA,high,Sub-billion-parameter flow VLA focused on compute-efficient open generalist robot policies.,2509.04996,https://arxiv.org/abs/2509.04996,https://intuitive-robots.github.io/flower_vla/
llada-vla,LLaDA-VLA: Vision Language Diffusion Action Models,2025,diffusion VLM to action,medium,Explores masked diffusion VLMs for VLA policy learning and hierarchical action decoding.,2509.06932,https://arxiv.org/abs/2509.06932,
simplevla-rl,SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,2025,RL post-training,high,Applies scalable RL to VLA training to improve long-horizon planning and distribution-shift robustness.,2509.09674,https://arxiv.org/abs/2509.09674,https://github.com/PRIME-RL/SimpleVLA-RL
mos-vla,MoS-VLA: A Vision-Language-Action Model with One-Shot Skill Adaptation,2025,one-shot adaptation,medium,Introduces mixture-of-skills adaptation for fast domain/task adaptation from one demonstration.,2510.16617,https://arxiv.org/abs/2510.16617,https://mos-vla.github.io/
harbor,HARBOR: A Harness Framework for Agentic Robot Reinforcement Learning,2026,agentic RL harness,high,"Defines the harness-engineering framing for automating robot RL pipelines: env setup to policy training in sim, agent-driven.",2606.08610,https://arxiv.org/abs/2606.08610,
enpire,ENPIRE: Agentic Robot Policy Self-Improvement in the Real World,2026,agentic self-improvement,high,Real-world reset-execute-verify-refine loop driven by coding agents; closes the agentic loop on physical robots.,2606.19980,https://arxiv.org/abs/2606.19980,
agentic-robotics-loop,You Don't Need To Stay in The Loop: An Agentic Robotics Loop for Robot-Policy Improvement,2026,agentic control plane,high,Ports Claude-Code-style main-agent/subagent/tool architecture to robot policy improvement; tool quality expiry mechanism.,2608.07555,https://arxiv.org/abs/2608.07555,
playful-agentic,Playful Agentic Robot Learning,2026,agentic skill acquisition,high,Self-directed play as continual skill-learning stage; RATs propose learnable exploratory tasks before downstream tasks arrive.,2606.19419,https://arxiv.org/abs/2606.19419,
art-vla-agent,Evolve Vision-Language-Action Model into an Agent with On-the-fly Tool-use,2026,VLA + tool use,high,"Tool-injection tuning that shrinks VLA action solution space; generalization up, data dependency down.",2608.14047,https://arxiv.org/abs/2608.14047,
capek05,Capek 0.5: An Execution-Centric Vision-Language Model for Embodied Intelligence,2026,execution-centric VLM,medium,Organizes perception/reasoning/verification around iterative robot execution rather than isolated task objectives.,2608.06756,https://arxiv.org/abs/2608.06756,
humanvid-selfimprove,Robot Self-Improvement via Human-Video Dynamics Models,2026,self-improvement priors,high,Human-video dynamics as embodiment-agnostic prior to evaluate/correct robot attempts; connects world-model to self-improvement.,2606.21406,https://arxiv.org/abs/2606.21406,
lego-rl,LEGO-RL: Harness-Native Reinforcement Learning for Coding Agents,2026,harness-native RL,high,Bridges native agent harnesses with policy-gradient training; crash/reward-hacking mitigation. Method core for harness-RL line.,2608.17393,https://arxiv.org/abs/2608.17393,
coskill,CoSkill: Joint Reinforcement Learning of Reasoning and Meta-Skill Agents for Hierarchical Skill Evolution,2026,agentic skill RL,medium,Unified multi-agent RL where skills co-evolve with the reasoning agent instead of being managed objects.,2609.04865,https://arxiv.org/abs/2609.04865,
multi-harness-rl,What Does Multi-Harness RL Learn? Credit Assignment and Portability in Coding Agents,2026,harness RL analysis,screen,"GRPO Within vs Cross harness ablation; coding agents only. Context for harness line, not standalone.",2609.04518,https://arxiv.org/abs/2609.04518,
vict,VICT: Verifier-Instrumented Credit Tracing for Long-Horizon LLM Agent Reinforcement Learning,2026,credit assignment,screen,"Verifier-internal structure for fine-grained credit; LLM agents, no robot experiments.",2608.28128,https://arxiv.org/abs/2608.28128,
push-t-agentic,"Revisiting the ""Push-T"" Robot Manipulation Task with Agentic Robotics",2026,agentic case study,screen,"Short paper: Claude Code writes algorithmic Push-T policy vs imitation. Fun case study, limited depth.",2608.18227,https://arxiv.org/abs/2608.18227,
sime,SIME: Enhancing Policy Self-Improvement with Modal-level Exploration,2025,self-improvement,screen,"Modal-level exploration for policy self-improvement; 2025, pre-agentic line.",2505.01396,https://arxiv.org/abs/2505.01396,
sas-prompt,SAS-Prompt: Large Language Models as Numerical Optimizers for Robot Self-Improvement,2025,LLM policy search,screen,LLM as stochastic numerical optimizer over robot traces; explainable but niche.,2504.20459,https://arxiv.org/abs/2504.20459,
spatial-memory-agent,Spatial Memory Agent: Experience-Grounded Procedure Memory for Spatial Intelligence,2026,spatial memory,screen,Frozen VLM + procedure memory for spatial reasoning; candidate for memory track later.,2608.12743,https://arxiv.org/abs/2608.12743,
tool-r0,Tool-R0: Self-Evolving LLM Agents for Tool-Learning from Zero Data,2026,agentic-rl-app,high,Self-evolving tool-learning agents from zero data; application line of agentic RL.,2602.21320,https://arxiv.org/abs/2602.21320,
ragen-2,RAGEN-2: Reasoning Collapse in Agentic RL,2026,agentic-rl-algo,high,Characterizes reasoning collapse modes in agentic RL; stability analysis line.,2604.06268,https://arxiv.org/abs/2604.06268,
polar,Polar: Agentic RL on Any Harness at Scale,2026,agentic-rl-system,high,Agentic RL engine decoupled from harness specifics; scale line.,2605.24220,https://arxiv.org/abs/2605.24220,
arlarena,ARLArena: A Unified Framework for Stable Agentic Reinforcement Learning,2026,agentic-rl-system,high,Unified framework targeting training stability of agentic RL.,2602.21534,https://arxiv.org/abs/2602.21534,
lite-researcher,LiteResearcher: A Scalable Agentic RL Training Framework for Deep Research Agent,2026,agentic-rl-system,high,Scalable agentic RL training framework; deep-research agent instantiation.,2604.17931,https://arxiv.org/abs/2604.17931,
tongyi-deepresearch,Tongyi DeepResearch Technical Report,2025,agentic-rl-app,medium,Alibaba deep research agent system report; industrial reference point.,2510.24701,https://arxiv.org/abs/2510.24701,
reasoning-to-agentic,From Reasoning to Agentic: Credit Assignment in Reinforcement Learning for Large Language Models,2026,agentic-rl-algo,high,Credit assignment bridge from reasoning RL to agentic RL.,2604.09459,https://arxiv.org/abs/2604.09459,
g2po,Group-Graph Policy Optimization for Long-Horizon Agentic Reinforcement Learning,2026,agentic-rl-algo,high,Group-graph credit structure for long-horizon agentic RL.,2606.22995,https://arxiv.org/abs/2606.22995,
dataprm,Rewarding the Scientific Process: Process-Level Reward Modeling for Agentic Data Analysis,2026,agentic-rl-algo,high,Process-level reward modeling (DataPRM) for agentic data analysis.,2604.24198,https://arxiv.org/abs/2604.24198,
harness-1,Harness-1: Reinforcement Learning for Search Agents with State-Externalizing Harnesses,2026,agentic-rl-system,high,State-externalizing harness design for RL of search agents.,2606.02373,https://arxiv.org/abs/2606.02373,
openclaw-rl,OpenClaw-RL: Train Any Agent Simply by Talking,2026,agentic-rl-app,high,Natural-language-driven agent RL; application line.,2603.10165,https://arxiv.org/abs/2603.10165,
